full_name,age,birthday,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdelilah Amimi,29,664243200,Botola Pro,2019/2020,Forward,FAR Rabat,1482,898,584,Morocco,19,10,6,5,3,2,0,0,0,3,0,5,4,1,13,7,6,1,0,0.3,0,0.3,0.3,0.31,296,0.79,114,78,1482,0,0.06,29,162,-1,2
Abdelilah Hafidi,28,696729600,Botola Pro,2019/2020,Forward,Raja Casablanca,698,238,460,Morocco,11,2,5,3,1,2,0,0,0,0,0,7,3,4,6,3,3,0,0,0.39,0,0.39,0.38,0.39,233,0.77,116,63,0,0,0,17,90,-1,4
Abdelilah Madkour,19,973468800,Botola Pro,2019/2020,Defender,Raja Casablanca,541,350,191,Morocco,7,4,2,0,0,0,0,0,0,0,0,4,2,2,4,3,1,3,0,0,0,0,0,0,0,0.67,135,77,180,0,0.5,159,86,33,15
Abdeljalil Jbira,29,652143600,Botola Pro,2019/2020,Defender,Raja Casablanca,628,178,450,Morocco,8,2,5,0,0,0,0,0,0,0,0,7,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,79,314,0,0.29,148,132,1,19
Abdelkader Kadi,31,592873200,Botola Pro,2019/2020,Defender,Rapide Oued Zem,1619,809,810,Morocco,18,9,9,1,1,0,0,0,0,1,0,8,4,4,12,5,7,3,0,0.06,0,0.06,0.11,0,1619,0.67,135,90,540,0,0.17,120,298,34,5
Abdelkarim Baadi,24,829436400,Botola Pro,2019/2020,Defender,Hassania Agadir,811,361,450,Morocco,10,4,5,0,0,0,0,0,0,0,0,2,2,0,10,3,7,1,0,0,0,0,0,0,0,1.11,81,81,811,0,0.11,208,96,85,15
Abdelkhalek Ait Ourehbi,26,769734000,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,1666,868,798,Morocco,19,10,9,2,2,0,0,0,0,2,0,3,2,1,27,14,13,2,0,0.11,0,0.11,0.21,0,833,1.46,62,88,833,0,0.11,93,284,-1,4
Abdellah Khafifi,27,730080000,Botola Pro,2019/2020,Defender,Mouloudia Oujda,1385,540,845,Morocco,16,6,10,0,0,0,0,0,0,0,0,5,2,3,11,4,7,8,1,0,0,0,0,0,0,0.71,126,87,154,0,0.58,291,246,46,25
Abdellatif Noussir,30,635472000,Botola Pro,2019/2020,Defender,Wydad Casablanca,598,148,450,Morocco,8,2,5,0,0,0,0,0,0,0,0,3,1,2,6,1,5,2,0,0,0,0,0,0,0,0.9,100,75,299,0,0.3,184,155,68,24
Abdelmounaim Boutouil,21,904604400,Botola Pro,2019/2020,Defender,FAR Rabat,348,258,90,Morocco,6,3,1,0,0,0,0,0,0,0,0,4,3,1,2,2,0,3,0,0,0,0,0,0,0,0.52,174,58,116,0,0.78,137,18,13,16
Abdelouahed Chakhsi,33,528505200,Botola Pro,2019/2020,Defender,Moghreb Tétouan,1172,460,712,Morocco,15,6,8,0,0,0,0,0,0,0,0,6,5,1,12,2,10,1,0,0,0,0,0,0,0,0.92,98,78,1172,0,0.08,238,174,70,21
Abdelwahed Hasti,28,684025200,Botola Pro,2019/2020,Forward,Rapide Oued Zem,118,83,35,Morocco,5,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,1,0,0,0,0,0,0,0,2.29,39,24,118,0,0.76,-1,-1,-1,20
Abderrahim Achchakir,33,534988800,Botola Pro,2019/2020,Defender,Raja Casablanca,1333,456,877,Morocco,17,5,9,1,1,0,0,0,0,0,0,10,4,6,8,1,7,1,0,0.07,0,0.07,0.2,0,1333,0.54,167,78,1333,0,0.07,111,22,17,7
Abderrahim Khaddou,30,634262400,Botola Pro,2019/2020,Defender,Rapide Oued Zem,23,23,0,Morocco,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3.91,23,8,0,0,0,-1,-1,-1,25
Abderrahim Makrane,26,777337200,Botola Pro,2019/2020,Forward,FUS Rabat,818,291,527,Morocco,17,3,6,0,0,0,0,0,0,0,0,7,3,4,6,2,4,1,0,0,0,0,0,0,0,0.66,136,48,818,0,0.11,251,179,-1,16
Abderrahman El Hoausli,35,472348800,Botola Pro,2019/2020,Goalkeeper,Hassania Agadir,1530,810,720,Morocco,17,9,8,0,0,0,0,0,0,0,0,3,2,1,20,9,11,2,0,0,0,0,0,0,0,1.18,77,90,765,0,0.12,290,54,92,16
Abderrazak Rhazouat,20,937954800,Botola Pro,2019/2020,Defender,Raja Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdessalam Benjelloun,35,475718400,Botola Pro,2019/2020,Forward,Raja Beni Mellal,819,432,387,Morocco,12,5,4,2,1,1,0,0,0,0,0,3,2,1,12,8,4,0,0,0.22,0,0.22,0.21,0.23,410,1.32,68,68,0,0,0,48,158,-1,1
Abdessamad Bendaoud,23,864774000,Botola Pro,2019/2020,Midfielder,Olympic Safi,270,270,0,Morocco,4,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,-1,-1,-1,12
Abdessamad El Moubarki,39,362790000,Botola Pro,2019/2020,Midfielder,CR Khemis Zemamra,1987,952,1035,Morocco,23,11,12,9,7,2,0,0,0,5,0,3,3,0,28,12,16,1,0,0.41,0,0.41,0.66,0.17,221,1.27,71,86,1987,0,0.05,15,311,-1,1
Abdessamad Maher,0,0,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdessamad Niani,25,801529200,Botola Pro,2019/2020,Forward,Youssoufia Berrechid,759,357,402,Morocco,15,4,5,5,4,1,0,0,0,0,0,2,1,1,13,6,7,1,0,0.59,0,0.59,1.01,0.22,152,1.54,58,51,759,0,0.12,5,154,-1,2
Abdoul Abass Guiro,25,782521200,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,450,90,360,Burkina Faso,5,1,4,0,0,0,0,0,0,0,0,1,0,1,7,2,5,0,0,0,0,0,0,0,0,1.4,64,90,0,0,0,306,265,-1,29
Abdoulaye Diarra,25,788572800,Botola Pro,2019/2020,Midfielder,Rapide Oued Zem,1407,702,705,Mali,16,8,8,2,0,2,0,0,0,0,0,8,4,4,8,4,4,3,0,0.13,0,0.13,0,0.26,704,0.51,176,88,469,0,0.19,79,255,-1,4
Abdoulaye Sissoko,28,711414000,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,813,364,449,Mali,13,4,6,4,2,2,0,0,0,0,0,7,6,1,4,0,4,2,1,0.44,0,0.44,0.49,0.4,203,0.44,203,63,407,0,0.22,13,221,-1,1
Abdul Djamilou Atchabao,29,657936000,Botola Pro,2019/2020,Forward,CR Khemis Zemamra,1043,604,439,Gabon,18,7,5,4,3,1,0,0,0,0,0,3,3,0,13,6,7,0,0,0.35,0,0.35,0.45,0.21,261,1.12,80,58,0,0,0,23,303,-1,3
Aboubacar Ibrahima Toungara,25,784857600,Botola Pro,2019/2020,Midfielder,FAR Rabat,1334,712,622,Mali,18,9,8,1,0,1,0,0,0,0,0,4,3,1,14,6,8,2,0,0.07,0,0.07,0,0.14,1334,0.94,95,74,667,0,0.13,110,160,-1,5
Achraf Dari,21,925945200,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,466,267,199,Morocco,6,3,3,0,0,0,0,0,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0.58,155,78,0,0,0,191,122,-1,26
Achraf El Idrissi,25,805071600,Botola Pro,2019/2020,Midfielder,Raja Beni Mellal,331,153,178,Morocco,6,2,2,0,0,0,0,0,0,0,0,0,0,0,9,5,4,3,1,0,0,0,0,0,0,2.45,37,55,110,0,0.82,307,264,-1,28
Achraf Hilali,30,641775600,Botola Pro,2019/2020,Goalkeeper,Olympic Safi,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Achraf Hmaidou,0,0,Botola Pro,2019/2020,Midfielder,Youssoufia Berrechid,111,9,102,Morocco,3,0,1,0,0,0,0,0,0,0,0,1,1,0,4,0,4,0,0,0,0,0,0,0,0,3.24,28,37,0,0,0,-1,-1,-1,27
Achraf Kouay,22,902790000,Botola Pro,2019/2020,Forward,Hassania Agadir,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Achraf Marzak,25,794448000,Botola Pro,2019/2020,Defender,Youssoufia Berrechid,432,180,252,Morocco,6,2,3,0,0,0,0,0,0,0,0,2,1,1,5,1,4,1,0,0,0,0,0,0,0,1.04,86,72,432,0,0.21,239,170,82,10
Adam Ennaffati,26,772844400,Botola Pro,2019/2020,Forward,Mouloudia Oujda,1129,394,735,Morocco,14,5,9,2,1,1,0,0,0,0,0,4,2,2,9,3,6,3,1,0.16,0,0.16,0.23,0.12,565,0.72,125,81,282,0,0.32,71,240,-1,6
Adama Ba,26,746406000,Botola Pro,2019/2020,Midfielder,RSB Berkane,432,159,273,Mauritania,10,1,3,0,0,0,0,0,0,0,0,5,1,4,3,2,1,1,0,0,0,0,0,0,0,0.63,144,43,432,0,0.21,287,12,-1,22
Adama Diom,20,963010800,Botola Pro,2019/2020,Forward,Khouribga,88,52,36,Senegal,4,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,2.05,44,22,0,0,0,-1,-1,-1,12
Adil El Hassnaoui,31,605232000,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,1210,559,651,Morocco,16,6,7,0,0,0,0,0,0,0,0,8,7,1,11,1,10,8,0,0,0,0,0,0,0,0.82,110,76,151,0,0.6,304,55,-1,13
Adil Rhaili,29,672534000,Botola Pro,2019/2020,Defender,Wydad Casablanca,131,0,131,Morocco,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,2.75,33,66,131,0,0.69,-1,-1,-1,15
Adnane Brahini,26,770425200,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,159,93,66,Morocco,6,1,0,0,0,0,0,0,0,0,0,3,1,2,2,1,1,0,0,0,0,0,0,0,0,1.13,80,27,0,0,0,-1,-1,-1,19
Adnane El Ouardy,26,762393600,Botola Pro,2019/2020,Forward,Moghreb Tétouan,919,424,495,Morocco,17,4,6,2,1,1,0,0,0,0,0,8,6,2,6,1,5,2,0,0.2,0,0.2,0.21,0.18,460,0.59,153,54,460,0,0.2,51,178,-1,4
Adnane Mourchidi,28,687913200,Botola Pro,2019/2020,Defender,Raja Beni Mellal,630,360,270,Morocco,7,4,3,0,0,0,0,0,0,0,0,4,3,1,4,2,2,2,0,0,0,0,0,0,0,0.57,158,90,315,0,0.29,167,116,20,15
Ahmad Marouane Bessak,24,839977200,Botola Pro,2019/2020,Goalkeeper,Olympic Safi,900,540,360,Morocco,10,6,4,0,0,0,0,0,0,0,0,7,5,2,6,3,3,2,0,0,0,0,0,0,0,0.6,150,90,450,0,0.2,196,205,22,17
Ahmed Chentouf,23,849744000,Botola Pro,2019/2020,Midfielder,Ittihad Tanger,212,92,120,Morocco,6,1,1,0,0,0,0,0,0,0,0,2,2,0,3,1,2,0,0,0,0,0,0,0,0,1.27,71,35,0,0,0,-1,-1,-1,27
Ahmed Reda Tagnaouti,24,828658800,Botola Pro,2019/2020,Goalkeeper,Wydad Casablanca,1350,720,630,Morocco,15,8,7,0,0,0,0,0,0,0,0,3,1,2,15,7,8,2,0,0,0,0,0,0,0,1,90,90,675,0,0.13,185,128,80,30
Aissa Sioudi,22,874710000,Botola Pro,2019/2020,Goalkeeper,Wydad Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alae-Eddine Bouchenna,25,800751600,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,222,90,132,Morocco,7,1,1,0,0,0,0,0,0,0,0,3,1,2,2,1,1,1,0,0,0,0,0,0,0,0.81,111,32,222,0,0.41,-1,-1,-1,17
Alaedine Ajaray,27,726192000,Botola Pro,2019/2020,Forward,RSB Berkane,535,271,264,Morocco,12,1,3,1,0,1,0,0,0,0,0,6,2,4,1,1,0,1,0,0.17,0,0.17,0,0.34,535,0.17,535,45,535,0,0.17,62,81,-1,7
Amin Thigazaoui,31,609030000,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,497,305,192,France,7,4,2,1,1,0,0,0,0,0,0,1,0,1,6,4,2,0,0,0.18,0,0.18,0.3,0,497,1.09,83,71,0,0,0,58,125,-1,9
Amine Aboulfath,22,877910400,Botola Pro,2019/2020,Defender,Youssoufia Berrechid,1710,810,900,Morocco,19,9,10,1,1,0,0,0,0,0,0,3,2,1,30,13,17,5,0,0.05,0,0.05,0.11,0,1710,1.58,57,90,342,0,0.26,125,279,121,7
Amine Amri,0,0,Botola Pro,2019/2020,Goalkeeper,Mouloudia Oujda,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Amine El Kess,32,585702000,Botola Pro,2019/2020,Midfielder,RSB Berkane,1302,719,583,Morocco,17,8,6,0,0,0,0,0,0,0,0,8,3,5,10,5,5,3,1,0,0,0,0,0,0,0.69,130,77,434,0,0.21,264,9,-1,20
Amine Louani,25,789696000,Botola Pro,2019/2020,Midfielder,FUS Rabat,1368,528,840,Morocco,18,6,9,1,0,1,0,0,0,0,0,6,3,3,9,4,5,3,0,0.07,0,0.07,0,0.11,1368,0.59,152,76,456,0,0.2,114,192,-1,8
Amine Rzine,28,702082800,Botola Pro,2019/2020,Goalkeeper,Khouribga,1350,630,720,Morocco,15,7,8,0,0,0,0,0,0,0,0,4,3,1,19,9,10,0,0,0,0,0,0,0,0,1.27,71,90,0,0,0,192,202,102,22
Amine Sadiki,34,521938800,Botola Pro,2019/2020,Defender,Hassania Agadir,575,263,312,Morocco,7,3,4,1,0,1,0,0,0,0,0,2,1,1,5,2,3,2,0,0.16,0,0.16,0,0.29,575,0.78,115,82,288,0,0.31,70,51,54,7
Amine Souane,0,0,Botola Pro,2019/2020,Midfielder,Mouloudia Oujda,30,13,17,Morocco,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,-1,-1,-1,11
Amir El Haddaoui,20,937263600,Botola Pro,2019/2020,Goalkeeper,Raja Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Amir Hadaoui,0,0,Botola Pro,2019/2020,Goalkeeper,Raja Casablanca,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Anas Al Asbahi,26,750639600,Botola Pro,2019/2020,Midfielder,Ittihad Tanger,41,41,0,Morocco,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4.39,21,41,0,0,0,-1,-1,-1,7
Anas Bach,22,887068800,Botola Pro,2019/2020,Defender,FUS Rabat,1530,630,900,Morocco,17,7,10,0,0,0,0,0,0,0,0,7,3,4,9,4,5,2,0,0,0,0,0,0,0,0.53,170,90,765,0,0.12,246,188,15,23
Anas El Ouardani,25,778892400,Botola Pro,2019/2020,Midfielder,Khouribga,272,162,110,Morocco,7,2,1,0,0,0,0,0,0,0,0,4,3,1,2,1,1,1,0,0,0,0,0,0,0,0.66,136,39,272,0,0.33,204,210,-1,19
Anas Eniya,29,669600000,Botola Pro,2019/2020,Defender,Difaâ El Jadida,270,180,90,Morocco,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,19
Anas Jabroun,22,876178800,Botola Pro,2019/2020,Forward,Raja Casablanca,368,206,162,Morocco,8,3,2,0,0,0,0,0,0,0,0,5,2,3,1,1,0,1,0,0,0,0,0,0,0,0.24,368,46,368,0,0.24,129,135,-1,23
Anas Serrhat,0,0,Botola Pro,2019/2020,Defender,CR Khemis Zemamra,1595,837,758,Morocco,21,9,8,0,0,0,0,0,0,0,0,2,2,0,25,11,14,4,0,0,0,0,0,0,0,1.41,64,76,399,0,0.23,226,304,112,24
Anas Zniti,31,594000000,Botola Pro,2019/2020,Goalkeeper,Raja Casablanca,1260,540,720,Morocco,14,6,8,0,0,0,0,0,0,0,0,9,4,5,7,2,5,0,0,0,0,0,0,0,0,0.5,180,90,0,0,0,150,27,10,20
Anouar Jayid,29,657331200,Botola Pro,2019/2020,Defender,Ittihad Tanger,450,180,270,Morocco,5,2,3,0,0,0,0,0,0,0,0,1,1,0,8,1,7,1,0,0,0,0,0,0,0,1.6,56,90,450,0,0.2,200,151,122,13
Anouar tarkhatt,22,873414000,Botola Pro,2019/2020,Defender,FAR Rabat,1620,900,720,Morocco,18,10,8,0,0,0,0,0,0,0,0,4,3,1,17,8,9,3,0,0,0,0,0,0,0,0.94,95,90,540,0,0.17,132,169,72,22
Aouk Badi,25,796431600,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,744,423,321,Morocco,10,4,4,2,2,0,0,0,0,2,0,2,1,1,8,4,4,1,0,0.24,0,0.24,0.43,0,372,0.97,93,74,744,0,0.12,43,142,-1,5
Ayman Chbani,22,899247600,Botola Pro,2019/2020,Defender,FAR Rabat,1422,882,540,Morocco,16,10,6,1,0,1,0,0,0,0,0,5,4,1,14,7,7,5,1,0.06,0,0.06,0,0.17,1422,0.89,102,89,237,0,0.38,121,172,64,7
Aymane Arhihou,0,0,Botola Pro,2019/2020,Forward,FAR Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aymane Hassouni,25,793411200,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,746,479,267,Morocco,10,6,3,0,0,0,0,0,0,0,0,3,1,2,7,4,3,2,0,0,0,0,0,0,0,0.84,107,75,373,0,0.24,181,91,-1,17
Aymane Majid,25,789177600,Botola Pro,2019/2020,Goalkeeper,Raja Beni Mellal,270,180,90,Morocco,3,2,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,13
Ayoub Al Gaadaoui,28,689385600,Botola Pro,2019/2020,Forward,Olympic Safi,1170,579,591,Morocco,19,6,7,5,2,3,0,0,0,1,0,7,6,1,18,6,12,3,0,0.38,0,0.38,0.31,0.46,234,1.38,65,62,390,0,0.23,19,295,-1,1
Ayoub Benchaoui,23,857347200,Botola Pro,2019/2020,Defender,Difaâ El Jadida,688,450,238,Morocco,9,5,4,0,0,0,0,0,0,0,0,5,4,1,1,0,1,4,1,0,0,0,0,0,0,0.13,688,76,138,0,0.65,274,74,2,24
Ayoub Bouaadli,0,0,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,307,147,160,Morocco,5,2,2,1,1,0,0,0,0,0,0,3,2,1,4,2,2,1,0,0.29,0,0.29,0.61,0,307,1.17,77,61,307,0,0.29,30,316,-1,7
Ayoub El Amloud,26,765759600,Botola Pro,2019/2020,Defender,Wydad Casablanca,586,404,182,Morocco,9,4,3,0,0,0,0,0,0,0,0,1,0,1,6,4,2,1,0,0,0,0,0,0,0,0.92,98,65,586,0,0.15,188,126,69,29
Ayoub El Kaabi,27,740962800,Botola Pro,2019/2020,Forward,Wydad Casablanca,518,270,248,Morocco,6,3,3,1,1,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0.17,0,0.17,0.33,0,518,0.69,130,86,0,0,0,63,129,-1,11
Ayoub El Ouardighi,0,0,Botola Pro,2019/2020,Defender,Moghreb Tétouan,599,296,303,Morocco,10,3,3,0,0,0,0,0,0,0,0,5,4,1,5,2,3,2,0,0,0,0,0,0,0,0.75,120,60,300,0,0.3,249,196,48,25
Ayoub Jarfi,24,826243200,Botola Pro,2019/2020,Defender,Ittihad Tanger,891,441,450,Morocco,11,5,5,0,0,0,0,0,0,0,0,4,3,1,12,7,5,3,0,0,0,0,0,0,0,1.21,74,81,297,0,0.3,256,182,94,19
Ayoub Lakhal,24,836694000,Botola Pro,2019/2020,Midfielder,Moghreb Tétouan,1414,804,610,Morocco,19,9,7,4,2,2,0,0,0,2,0,10,8,2,10,3,7,2,0,0.25,0,0.25,0.22,0.3,354,0.64,141,74,707,0,0.13,37,197,-1,2
Ayoub Lakred,25,803689200,Botola Pro,2019/2020,Goalkeeper,FAR Rabat,180,90,90,Morocco,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,15
Ayoub Mallouki,25,793324800,Botola Pro,2019/2020,Forward,Hassania Agadir,753,317,436,Morocco,13,5,5,1,1,0,0,0,0,0,0,3,2,1,8,2,6,2,0,0.12,0,0.12,0.28,0,753,0.96,94,58,377,0,0.24,90,46,-1,9
Ayoub Mouddne,22,882748800,Botola Pro,2019/2020,Midfielder,Wydad Casablanca,12,12,0,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,31
Ayoub Moudhi,27,715388400,Botola Pro,2019/2020,Defender,Khouribga,540,180,360,Morocco,6,2,4,0,0,0,0,0,0,0,0,2,2,0,7,0,7,2,0,0,0,0,0,0,0,1.17,77,90,270,0,0.33,180,101,87,34
Ayoub Nanah,27,721526400,Botola Pro,2019/2020,Midfielder,Raja Casablanca,456,267,189,Morocco,11,4,1,1,1,0,0,0,0,0,0,7,3,4,1,1,0,0,0,0.2,0,0.2,0.34,0,456,0.2,456,41,0,0,0,52,119,-1,8
Ayoub Qasmi,26,748393200,Botola Pro,2019/2020,Defender,Mouloudia Oujda,1268,399,869,Morocco,16,5,10,0,0,0,0,0,0,0,0,4,3,1,12,3,9,4,0,0,0,0,0,0,0,0.85,106,79,317,0,0.28,301,275,58,13
Ayoub Rahmaoui,0,0,Botola Pro,2019/2020,Defender,Olympic Safi,456,230,226,Morocco,10,1,3,0,0,0,0,0,0,0,0,4,3,1,6,3,3,2,0,0,0,0,0,0,0,1.18,76,46,228,0,0.39,149,28,90,13
Ayoub Skouma,33,543456000,Botola Pro,2019/2020,Midfielder,FUS Rabat,1623,699,924,Morocco,19,8,11,3,2,1,0,0,0,2,0,7,3,4,14,8,6,3,0,0.17,0,0.17,0.26,0.1,541,0.78,116,85,541,0,0.17,60,194,-1,3
Ayoub Talib Rabbih,25,784080000,Botola Pro,2019/2020,Forward,CR Khemis Zemamra,35,0,35,Morocco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.57,35,35,0,0,0,-1,-1,-1,28
Azeddine Nekkab,0,0,Botola Pro,2019/2020,Defender,Raja Beni Mellal,950,630,320,Morocco,11,7,3,1,1,0,0,0,0,1,0,2,2,0,14,11,3,1,0,0.09,0,0.09,0.14,0,950,1.33,68,86,950,0,0.09,97,259,108,3
Azzedine Sellak,21,928364400,Botola Pro,2019/2020,Midfielder,FUS Rabat,0,0,0,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
